point,longitude,latitude,ahd
1,145.1100955,-37.85862362,67.553
2,145.1100979,-37.8586045,67.376
3,145.110101,-37.8585784,67.134
4,145.1101056,-37.85855461,66.916
5,145.1101219,-37.85852354,66.67
6,145.1101541,-37.8584919,66.436
7,145.1101982,-37.85851349,66.617
8,145.1102486,-37.8585317,66.743
9,145.110297,-37.85855047,66.842
10,145.1103463,-37.85856564,66.991
11,145.1103881,-37.85857659,67.126
12,145.1103755,-37.85861555,67.413
13,145.1103287,-37.85860616,67.323
14,145.1102841,-37.85859533,67.268
15,145.1102399,-37.858586,67.159
16,145.1101944,-37.85857924,67.154
17,145.1101537,-37.85857187,67.057
18,145.110146,-37.85861062,67.414
19,145.1101941,-37.85861798,67.442
20,145.1102429,-37.85862634,67.574
21,145.1102895,-37.85863816,67.698
22,145.1103304,-37.85865053,67.745
