1,333745.88355624466,5808187.671774011,67.553,
2,333746.0517374064,5808189.797690025,67.376,
3,333746.26581814553,5808192.699384956,67.134,
4,333746.6170563583,5808195.347424417,66.916,
5,333747.9812744921,5808198.824129662,66.67,
6,333750.7430583,5808202.392411291,66.436,
7,333754.67138695903,5808200.075254981,66.617,
8,333759.14637781295,5808198.144379955,66.743,
9,333763.446669485,5808196.147799619,66.842,
10,333767.8180502603,5808194.552292312,66.991,
11,333771.52011601126,5808193.411692621,67.126,
12,333770.49913329247,5808189.066073163,67.413,
13,333766.36068660073,5808190.024660841,67.323,
14,333762.4125539482,5808191.146954425,67.268,
15,333758.50298157975,5808192.1035120785,67.159,
16,333754.4848121401,5808192.772573311,67.154,
17,333750.8875636911,5808193.517872416,67.057,
18,333750.29720982007,5808189.204282271,67.414,
19,333754.5454677915,5808188.473276436,67.442,
20,333758.8575561097,5808187.632551024,67.574,
21,333762.98386713956,5808186.403967261,67.698,
22,333766.6099408641,5808185.104197076,67.745,
